Index,Price,Open,High,Low,Vol.,Change %
536,364.38,364.38,364.38,364.38,-,-0.24%
537,366.75,364.25,369.75,360.5,162.09K,0.65%
538,364.75,366.75,367.75,361,137.62K,-0.55%
539,379,364.25,382.75,362,337.54K,3.91%
540,382.75,379,385.5,378,216.36K,0.99%
541,379.75,381.5,383.25,377.25,164.09K,-0.78%
542,378.62,378.62,378.62,378.62,-,-0.30%
543,379.5,378.75,382.5,377.75,119.04K,0.23%
544,385,378.5,389.25,378.5,213.44K,1.45%
545,388.75,384.5,392,384,186.78K,0.97%
546,387,389,394.5,386.5,202.96K,-0.45%
547,395,387,398.25,386.5,280.95K,2.07%
548,395.88,395.88,395.88,395.88,-,0.22%
549,389,395.5,399.25,387.25,193.54K,-1.74%
550,391.25,389,392.75,388,130.27K,0.58%
551,396.5,391,397.5,388,183.51K,1.34%
552,403.75,396,404.25,393.5,245.38K,1.83%
553,402,403.25,409,401.75,-,-0.43%
