"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2020","61.58","62.75","63.85","61.45","10.71K","0.70%"
"Mar 23, 2020","64.57","64.00","64.57","63.17","-","4.87%"
"Mar 24, 2020","66.43","66.30","67.70","65.80","-","2.86%"
"Mar 25, 2020","65.85","66.97","67.45","65.15","-","-0.87%"
"Mar 26, 2020","62.90","65.20","65.25","62.85","-","-4.48%"
"Mar 27, 2020","58.45","62.22","62.22","58.40","7.70K","-7.07%"
"Mar 30, 2020","53.95","58.10","58.25","53.95","10.16K","-7.70%"
"Mar 31, 2020","52.20","53.95","54.80","52.10","7.49K","-3.24%"
"Apr 01, 2020","49.20","51.40","51.60","49.20","5.82K","-5.75%"
"Apr 02, 2020","44.70","48.00","48.20","44.70","8.51K","-9.15%"
"Apr 03, 2020","40.22","41.83","42.50","40.20","9.03K","-10.01%"
"Apr 06, 2020","41.13","40.22","42.75","37.50","9.55K","2.24%"
"Apr 07, 2020","44.13","43.33","44.13","42.85","6.10K","7.29%"
"Apr 08, 2020","43.13","44.10","44.30","40.85","6.54K","-2.27%"
"Apr 09, 2020","42.80","42.00","43.00","42.00","2.77K","-0.75%"
"Apr 10, 2020","42.90","42.90","42.90","42.90","-","0.23%"
"Apr 13, 2020","44.90","41.90","45.00","41.90","4.05K","4.66%"
"Apr 14, 2020","45.65","44.78","45.80","44.50","2.77K","1.67%"
"Apr 15, 2020","45.60","45.75","46.05","45.50","1.81K","-0.11%"
"Apr 16, 2020","37.33","39.30","39.78","37.00","0.32K","-18.15%"
"Apr 17, 2020","37.92","38.20","39.50","37.22","0.47K","1.61%"
"Apr 20, 2020","40.60","38.50","41.38","38.42","1.35K","7.05%"
"Apr 21, 2020","44.28","40.60","44.35","40.58","1.08K","9.05%"
"Apr 22, 2020","47.22","44.97","47.63","44.97","1.76K","6.66%"
"Apr 23, 2020","50.97","47.97","50.97","47.97","2.06K","7.94%"
"Apr 24, 2020","52.53","52.13","53.72","51.70","1.29K","3.04%"
"Apr 27, 2020","56.28","54.30","56.28","53.80","1.36K","7.14%"
"Apr 28, 2020","55.05","57.08","59.00","54.00","1.66K","-2.18%"
"Apr 29, 2020","56.28","57.08","57.78","55.85","1.07K","2.23%"
"Apr 30, 2020","59.13","57.42","59.47","57.40","1.01K","5.06%"
"May 01, 2020","62.88","60.92","62.88","60.92","0.66K","6.34%"
"May 04, 2020","67.72","65.88","68.25","65.43","1.27K","7.71%"
"May 05, 2020","66.15","66.50","67.40","65.00","1.30K","-2.33%"
"May 06, 2020","68.10","66.97","68.20","66.50","0.77K","2.95%"
"May 07, 2020","68.80","67.93","68.95","65.55","0.80K","1.03%"
"May 08, 2020","67.30","68.25","68.70","67.20","0.49K","-2.18%"
"May 11, 2020","66.32","67.10","67.75","66.22","1.16K","-1.45%"
"May 12, 2020","68.03","67.57","68.07","67.32","0.46K","2.56%"
"May 13, 2020","68.00","67.50","68.28","67.25","0.71K","-0.04%"
"May 14, 2020","68.68","68.25","68.75","67.90","0.24K","0.99%"
"May 15, 2020","57.88","58.22","59.40","57.75","11.61K","-15.73%"
"May 18, 2020","57.65","58.50","58.80","57.10","9.45K","-0.39%"
"May 19, 2020","56.65","57.60","58.65","56.55","6.19K","-1.73%"
"May 20, 2020","56.88","56.05","57.05","55.75","5.81K","0.40%"
"May 21, 2020","59.35","57.03","59.42","56.95","8.18K","4.35%"
"May 22, 2020","58.78","59.03","59.72","58.55","5.04K","-0.97%"
"May 26, 2020","60.50","59.30","61.30","58.80","6.86K","2.93%"
"May 27, 2020","60.17","60.10","62.00","60.05","6.53K","-0.54%"
"May 28, 2020","56.92","58.67","58.80","56.65","7.60K","-5.40%"
"May 29, 2020","56.85","56.45","56.92","55.92","5.70K","-0.13%"
"Jun 01, 2020","54.60","55.28","55.85","54.45","5.34K","-3.96%"
"Jun 02, 2020","52.40","54.03","54.40","52.08","6.91K","-4.03%"
"Jun 03, 2020","48.65","51.33","51.45","48.65","6.94K","-7.16%"
"Jun 04, 2020","48.42","48.53","48.90","46.45","7.65K","-0.46%"
"Jun 05, 2020","47.45","48.45","48.78","47.28","3.04K","-2.01%"
"Jun 08, 2020","48.58","47.00","48.70","46.85","2.77K","2.37%"
"Jun 09, 2020","48.08","48.08","48.58","47.78","2.17K","-1.03%"
"Jun 10, 2020","47.85","47.88","48.15","47.72","1.59K","-0.47%"
"Jun 11, 2020","47.97","48.03","48.08","47.85","1.65K","0.26%"
"Jun 12, 2020","48.05","47.92","48.22","47.83","0.70K","0.16%"
"Jun 15, 2020","52.28","51.25","53.08","51.25","13.34K","8.79%"
"Jun 16, 2020","49.65","51.78","51.80","48.92","19.31K","-5.02%"
"Jun 17, 2020","49.65","48.50","49.85","48.17","11.48K","0.00%"
"Jun 18, 2020","49.90","49.38","50.28","48.97","8.22K","0.50%"
"Jun 19, 2020","48.45","49.95","50.35","48.33","7.14K","-2.91%"
"Jun 22, 2020","46.83","47.88","48.08","45.75","6.52K","-3.35%"
"Jun 23, 2020","46.90","46.83","47.47","46.28","6.96K","0.16%"
"Jun 24, 2020","45.92","46.33","46.72","45.85","4.90K","-2.08%"
"Jun 25, 2020","46.92","46.03","47.15","46.03","4.40K","2.18%"
"Jun 26, 2020","45.28","45.28","45.75","44.97","6.62K","-3.52%"
"Jun 29, 2020","45.38","45.28","45.60","45.08","2.45K","0.22%"
"Jun 30, 2020","45.17","45.28","45.63","45.08","3.29K","-0.44%"
"Jul 01, 2020","44.80","44.75","45.35","44.50","3.37K","-0.83%"
"Jul 02, 2020","44.72","45.08","45.35","44.63","2.12K","-0.17%"
"Jul 06, 2020","44.95","45.00","45.45","44.65","4.36K","0.50%"
"Jul 07, 2020","44.53","44.67","44.95","44.53","4.23K","-0.95%"
"Jul 08, 2020","44.05","44.35","44.55","43.58","9.28K","-1.07%"
"Jul 09, 2020","45.85","44.60","46.20","44.60","5.32K","4.09%"
"Jul 10, 2020","45.97","46.00","46.50","45.83","3.44K","0.27%"
"Jul 13, 2020","46.67","46.08","46.97","45.95","3.77K","1.52%"
"Jul 14, 2020","46.80","46.58","46.95","46.55","1.73K","0.27%"
"Jul 15, 2020","47.33","46.92","47.53","46.85","1.46K","1.12%"
"Jul 16, 2020","53.65","50.55","53.80","50.50","29.74K","13.37%"
"Jul 17, 2020","52.80","53.20","53.63","52.33","14.42K","-1.58%"
"Jul 20, 2020","50.40","52.83","53.28","50.20","16.45K","-4.55%"
"Jul 21, 2020","51.47","50.53","51.65","50.50","10.55K","2.13%"
"Jul 22, 2020","52.65","52.75","53.05","52.00","10.47K","2.28%"
"Jul 23, 2020","54.47","53.10","54.95","52.92","11.71K","3.47%"
"Jul 24, 2020","54.00","54.03","54.20","52.78","8.67K","-0.87%"
"Jul 27, 2020","54.55","54.25","54.92","53.67","9.24K","1.02%"
"Jul 28, 2020","54.20","54.75","55.28","54.03","7.63K","-0.64%"
"Jul 29, 2020","53.08","53.80","53.80","52.50","8.87K","-2.08%"
"Jul 30, 2020","51.42","53.05","53.13","51.03","7.97K","-3.11%"
"Jul 31, 2020","52.00","51.25","52.10","51.10","5.69K","1.12%"
"Aug 03, 2020","49.88","51.28","51.50","49.65","8.91K","-4.09%"
"Aug 04, 2020","49.70","49.90","50.47","49.55","6.86K","-0.35%"
"Aug 05, 2020","49.45","49.33","49.70","49.20","8.51K","-0.50%"
"Aug 06, 2020","49.75","49.45","50.00","49.45","3.91K","0.61%"
"Aug 07, 2020","51.00","50.50","51.20","50.50","5.07K","2.51%"
"Aug 10, 2020","53.13","51.85","53.42","51.65","6.28K","4.17%"
"Aug 11, 2020","53.08","53.38","53.67","52.95","3.57K","-0.09%"
"Aug 12, 2020","52.90","52.83","53.08","52.60","3.70K","-0.33%"
"Aug 13, 2020","53.70","53.05","53.83","53.03","1.87K","1.51%"
"Aug 14, 2020","53.83","53.80","53.97","53.70","-","0.23%"
"Aug 17, 2020","53.53","52.83","53.90","52.80","10.56K","-0.56%"
"Aug 18, 2020","51.42","53.45","53.55","51.28","15.60K","-3.92%"
"Aug 19, 2020","52.55","51.65","52.83","51.47","11.34K","2.19%"
"Aug 20, 2020","55.17","53.70","56.13","53.55","27.79K","5.00%"
"Aug 21, 2020","54.25","55.53","55.97","54.08","13.37K","-1.68%"
"Aug 24, 2020","54.60","54.50","55.95","54.25","14.30K","0.65%"
"Aug 25, 2020","55.95","55.47","56.17","55.17","12.95K","2.47%"
"Aug 26, 2020","55.55","55.95","56.70","54.65","15.65K","-0.71%"
"Aug 27, 2020","55.72","55.40","56.13","55.28","11.78K","0.32%"
"Aug 28, 2020","53.65","55.03","55.08","53.22","19.71K","-3.72%"
"Aug 31, 2020","53.60","53.38","54.38","53.17","13.11K","-0.09%"
"Sep 01, 2020","55.03","54.00","55.20","53.80","18.42K","2.66%"
"Sep 02, 2020","56.40","55.25","56.92","54.90","23.44K","2.50%"
"Sep 03, 2020","59.25","57.30","59.40","57.17","33.94K","5.05%"
"Sep 04, 2020","59.83","59.90","60.95","58.88","23.88K","0.97%"
"Sep 08, 2020","59.90","59.38","60.28","58.78","29.29K","0.13%"
"Sep 09, 2020","61.38","60.05","61.72","59.78","30.70K","2.46%"
"Sep 10, 2020","64.38","63.10","64.38","62.88","18.37K","4.89%"
"Sep 11, 2020","66.57","67.47","68.72","66.13","50.63K","3.42%"
"Sep 14, 2020","64.63","68.32","68.53","64.40","30.79K","-2.93%"
"Sep 15, 2020","65.70","65.25","67.00","65.15","21.86K","1.66%"
"Sep 16, 2020","65.22","66.38","66.88","64.15","18.71K","-0.72%"
"Sep 17, 2020","66.53","66.07","67.20","65.60","14.93K","1.99%"
"Sep 18, 2020","66.50","67.28","67.78","65.90","10.56K","-0.04%"
"Sep 21, 2020","65.60","66.10","66.47","65.28","8.18K","-1.35%"
"Sep 22, 2020","68.32","67.60","68.60","67.07","10.66K","4.15%"
"Sep 23, 2020","69.50","68.30","69.55","68.25","8.31K","1.72%"
"Sep 24, 2020","69.47","69.18","69.85","69.03","6.33K","-0.04%"
"Sep 25, 2020","71.75","69.47","72.00","68.90","9.09K","3.27%"
"Sep 28, 2020","72.70","72.28","72.78","72.15","6.21K","1.32%"
"Sep 29, 2020","72.38","73.28","73.45","72.13","7.48K","-0.45%"
"Sep 30, 2020","72.80","72.57","73.05","72.20","5.59K","0.59%"
"Oct 01, 2020","74.15","73.20","74.40","73.03","6.98K","1.85%"
"Oct 02, 2020","74.50","74.70","75.43","74.25","5.10K","0.47%"
"Oct 05, 2020","74.75","74.32","74.90","74.00","4.45K","0.34%"
"Oct 06, 2020","76.32","75.50","76.38","75.47","5.45K","2.11%"
"Oct 07, 2020","76.88","76.45","77.03","76.20","5.50K","0.72%"
"Oct 08, 2020","77.35","77.22","77.57","77.00","3.98K","0.62%"
"Oct 09, 2020","78.13","77.75","78.20","77.55","2.55K","1.00%"
"Oct 12, 2020","78.18","78.22","78.28","78.05","3.07K","0.06%"
"Oct 13, 2020","77.80","77.97","78.05","77.65","2.55K","-0.48%"
"Oct 14, 2020","78.43","78.05","78.43","78.00","1.77K","0.80%"
"Oct 15, 2020","69.88","68.20","69.93","68.03","21.38K","-10.90%"
"Oct 16, 2020","69.80","70.30","70.70","68.82","-","-0.11%"
